Brief,Section,Brief proposed key,Brief proposed type,Action,Canonical key (store) / Notes,Notes
gutbasket-prebiotic-brief.docx,1.7 Ingredients,custom.pd_source_desc,multi_line,🔁 REUSE OBJ,kit_science_card.what_it_does,See above.
gutbasket-prebiotic-brief.docx,1.7 Ingredients,custom.pd_certifications,list.single_line,🆕 CREATE,—,Or reuse `hero_trust_strip`.
gutbasket-prebiotic-brief.docx,1.8 FAQs,custom.faq_eyebrow,single_line,🆕 CREATE,—,
gutbasket-prebiotic-brief.docx,1.8 FAQs,custom.faq_heading,multi_line,🆕 CREATE,—,Same conceptual as `faq_h` — recommend canonical `faq_h`.
gutbasket-prebiotic-brief.docx,1.8 FAQs,custom.featured_faqs,list.metaobject_ref,✓ KEEP,custom.featured_faqs → kit_faq,
gutbasket-prebiotic-brief.docx,1.9 UGC,custom.ugc_eyebrow,single_line,🆕 CREATE,—,
gutbasket-prebiotic-brief.docx,1.9 UGC,custom.ugc_heading,multi_line,🆕 CREATE,—,Same conceptual as `reviews_h` — recommend canonical.
gutbasket-prebiotic-brief.docx,1.9 UGC,custom.featured_reviews,list.metaobject_ref,✓ KEEP,custom.featured_reviews → kit_review,
gutbasket-prebiotic-brief.docx,1.10 Journey,custom.journey_eyebrow,single_line,🆕 CREATE,—,
gutbasket-prebiotic-brief.docx,1.10 Journey,custom.journey_heading,multi_line,🆕 CREATE,—,
gutbasket-prebiotic-brief.docx,1.10 Journey,custom.journey_sub,multi_line,🆕 CREATE,—,
gutbasket-prebiotic-brief.docx,1.10 Journey,custom.journey_cards,list.metaobject_ref → prebiotic_journey_card (new),🔁 REUSE OBJ,custom.featured_timeline_steps → kit_timeline_step,"Brief proposed new metaobject. kit_timeline_step has the same shape (period_label, heading, description) — reuse it for the journey cards."
gutbasket-prebiotic-brief.docx,1.11 SEO,custom.seo_title_override,single_line,✓ KEEP,custom.seo_title_override,
gutbasket-prebiotic-brief.docx,1.11 SEO,custom.seo_description_override,multi_line,✓ KEEP,custom.seo_description_override,
